index_code,名称,trade_year,trade_week,trade_date,total_mv,total_earnings,total_earnings_ttm,total_book_value,pe,pb,pe_ttm
000015.SH,红利指数,2019,37,20190912,1185131679.4703,157131085.85805967,160118901.5399447,1234197456.2483575,7.5423120320116555,0.9602447918445685,7.401572631789797
000015.SH,红利指数,2019,38,20190920,1171023417.6371,157130901.35231686,160118938.13242143,1232749086.6557739,7.452534209114263,0.9499284406803946,7.3134598024166335
000015.SH,红利指数,2019,39,20190927,1163425763.3307,157130865.4185347,160119191.93416032,1232708424.8439283,7.404183514370599,0.9437963916552284,7.265998218433996
000015.SH,红利指数,2019,40,20190930,1156400100.1322,157131391.98523387,160118619.85147408,1232679489.6204407,7.359446674034877,0.9381190405693144,7.222146313807076
000015.SH,红利指数,2019,41,20191011,1188492067.7911,157131335.50317982,160118985.757435,1232684403.358789,7.56368590634838,0.9641495134948778,7.422555558724012
000015.SH,红利指数,2019,42,20191018,1185481564.8601,157130655.52499965,160256585.1380802,1235604367.29216,7.544559404396354,0.9594345862163756,7.397396892231704
000015.SH,红利指数,2019,43,20191025,1209413501.0882,157130840.1432126,160457624.8518045,1237103549.9646802,7.69685632677782,0.9776170322385134,7.537276600006953
000015.SH,红利指数,2019,44,20191101,1205318731.6419,157130888.80000058,161375068.8237624,1304409802.1117463,7.67079433488125,0.924033788837354,7.469051696939804
000015.SH,红利指数,2019,45,20191108,1205203275.3167999,157130977.64260003,161375476.2351717,1304949886.6027293,7.670055220162109,0.9235628798393116,7.468317388947394
000015.SH,红利指数,2019,46,20191115,1178802251.5411,157130869.0586171,161374549.32310134,1305932408.9528632,7.502041187727106,0.9026518091286975,7.304759371819669
000015.SH,红利指数,2019,47,20191122,1178637613.7143,157130786.64349043,161375041.21358642,1305930967.2549126,7.500997346805609,0.9025267363035389,7.303716887386106
000015.SH,红利指数,2019,48,20191129,1183186662.6358,157131072.4098166,161374539.90075538,1305906992.6302252,7.529934369377355,0.9060267456358018,7.331928960810388
000015.SH,红利指数,2019,49,20191206,1182615056.5451,157130817.7744254,161374673.3121056,1305941777.442486,7.526308799861553,0.9055649164246011,7.328380794041152
000015.SH,红利指数,2019,50,20191213,1203855368.7064002,157130597.66810423,161375094.8287346,1305921106.3395002,7.661495511200295,0.9218438716262191,7.459982409206557
000015.SH,红利指数,2019,51,20191220,1216425865.0898,157131009.41402528,161375060.44361427,1305947601.0329144,7.741475534498944,0.9314507443695987,7.537880151653475
000015.SH,红利指数,2019,52,20191227,1217402480.4463,157130977.2264766,161375010.89735243,1305936109.0134873,7.747692415173037,0.9322067688027509,7.543934303562443
000015.SH,红利指数,2020,1,20200103,1109447855.5314,150170031.629476,152351305.2475022,1240320931.3617828,7.387944475291919,0.8944845059683919,7.282168365601117
000015.SH,红利指数,2020,2,20200110,1095706123.0072,150169997.7241386,152748501.4897594,1244221624.881181,7.296438300678447,0.8806358136652996,7.173269212599501
000015.SH,红利指数,2020,3,20200117,1081284567.9118,150169567.86126336,152696479.240473,1245843640.9435024,7.200424049370392,0.8679135425798067,7.081267186317677
000015.SH,红利指数,2020,4,20200123,1051732672.0811,150169983.0411133,152737581.0051771,1246018528.247835,7.003614509253546,0.8440746652138938,6.885880116468854
000015.SH,红利指数,2020,6,20200207,1008313436.5983,150169846.205191,152737251.13074574,1245066743.7957942,6.7144867100719265,0.8098468950542264,6.601620947958309
000015.SH,红利指数,2020,7,20200214,1018980548.3742,150170220.43274066,152736995.5167005,1245036117.6578913,6.785503446940657,0.8184345288641607,6.671471734317198
000015.SH,红利指数,2020,8,20200221,1035984093.8083,150170123.10978496,152736844.07655647,1245047111.4298904,6.898736395460784,0.832084251509576,6.782804110375833
000015.SH,红利指数,2020,9,20200228,1004165179.2192,150048224.62310156,152719465.2937661,1245068482.285808,6.692282975966633,0.8065140138923634,6.57522718068467
000015.SH,红利指数,2020,10,20200306,1031363817.3821,150048339.05945694,152719164.7841221,1245065543.400311,6.873543711626292,0.8283610632781747,6.753335894941515
000015.SH,红利指数,2020,11,20200313,997088134.831,150048285.37328267,152718918.61229852,1245108837.1739972,6.645115153102174,0.8008039980617874,6.528910392315363
000015.SH,红利指数,2020,12,20200320,961624538.2483001,149954446.44925138,152562340.68944365,1245131117.6594763,6.412777753634265,0.7723078514461231,6.303158000215701
000015.SH,红利指数,2020,13,20200327,984817902.4765999,150235847.12394014,152588735.68918908,1246183232.2934678,6.555145934406415,0.7902673354576817,6.454066861675782
000015.SH,红利指数,2020,14,20200403,975028046.1107,154167035.4873742,153854869.77559423,1265801624.7970228,6.324491114642675,0.7702850328281498,6.337323267913663
000015.SH,红利指数,2020,15,20200410,975215363.4815,154190730.46226916,153875826.85802352,1265857011.195618,6.324734052155863,0.7703993064433058,6.3376774857645515
000015.SH,红利指数,2020,16,20200417,982940182.9783,153723821.6825064,153622603.93900898,1264936017.653409,6.394195591939004,0.7770671158544119,6.398408553005295
000015.SH,红利指数,2020,17,20200424,963808595.4822999,153890095.99371192,153733217.8934756,1267744519.042298,6.262967017199612,0.7602545946800048,6.269358104181099
000015.SH,红利指数,2020,18,20200430,989060085.2006999,153328851.77638552,148823236.4713753,1306742293.237284,6.450580394635336,0.7568899317939977,6.64587136156615
000015.SH,红利指数,2020,19,20200508,982057308.0309,153328649.42989862,148823262.1728091,1306677353.0962677,6.40491722637845,0.7515683238129468,6.598815895397889
000015.SH,红利指数,2020,20,20200515,971733464.8069,153328809.91478494,148823288.53704885,1306580169.866858,6.337579123890397,0.743722801874393,6.529444916579649
000015.SH,红利指数,2020,21,20200522,960506056.9147999,153328626.3573677,148823225.26619527,1306007220.092389,6.264362237721476,0.7354523329869893,6.454006457639753
000015.SH,红利指数,2020,22,20200529,968852361.3016,153328593.86094972,148823080.68448225,1306530924.5241435,6.318797667838985,0.7415456788016475,6.51009478399154
000015.SH,红利指数,2020,23,20200605,981033318.4221,153328531.76061767,148823076.80926573,1305781516.0737624,6.398243739486962,0.7512997437518347,6.591943530904213
000015.SH,红利指数,2020,24,20200612,971990754.3722,153328798.50481972,148823517.12455174,1303556008.8094487,6.339257620554866,0.745645563215906,6.53116371089881
000015.SH,红利指数,2020,25,20200619,966888627.4911,153328967.16613576,148823265.09521097,1299936229.0734963,6.305974959339888,0.7437969693176646,6.496891644411407
000015.SH,红利指数,2020,26,20200624,967915406.8743,153328678.93775144,148823256.32050672,1298752984.3005583,6.312683403913337,0.7452652032946585,6.503791348240568
000015.SH,红利指数,2020,27,20200703,1005834709.4114,153328545.51909378,148823150.85897344,1296172618.9338243,6.559996418189103,0.7760036701274836,6.75859033763195
000015.SH,红利指数,2020,28,20200710,1010389379.7243,153328416.86133605,148854252.67446387,1280723179.6214423,6.589707246752928,0.7889209751188794,6.787776375687207
000015.SH,红利指数,2020,29,20200717,967409114.9424,153329016.25089565,148853508.13565466,1268523275.710619,6.309367519578989,0.76262622331503,6.499068292436689
000015.SH,红利指数,2020,30,20200724,951695136.3129,153328924.03926125,148864261.02998906,1268115031.2404752,6.206885897596267,0.750480132217933,6.393039737866825
000015.SH,红利指数,2020,31,20200731,954041619.451,153328693.84225518,148864366.716416,1259387277.4955115,6.22219883013234,0.7575442729167956,6.408797756607748
000015.SH,红利指数,2020,32,20200807,959054166.4944,153328634.45938584,148870452.5825472,1259399963.4141157,6.254892765959102,0.7615167495276828,6.442206293170326
000015.SH,红利指数,2020,33,20200814,969289648.1439,153328781.91233966,148847655.76343837,1259415910.1422844,6.321641873461548,0.7696342727911013,6.51195776764116
000015.SH,红利指数,2020,34,20200821,969171098.0967001,153328389.17974067,148806495.70443445,1259332137.6945188,6.320884888189753,0.7695913326495252,6.512962310608452
000015.SH,红利指数,2020,35,20200828,969257671.1064,153328783.6573277,148288428.04388797,1261125684.6742113,6.321433249432018,0.7685654831118518,6.536300127340584
000015.SH,红利指数,2020,36,20200904,956955861.958,153328236.4613429,137372659.39838013,1265863027.2539597,6.241223952244879,0.7559710974685208,6.96613042325134
000015.SH,红利指数,2020,37,20200911,956306625.4090999,153328916.1972029,137372658.45384365,1265882390.6625261,6.236962010343522,0.7554466611298675,6.961404373858084
000015.SH,红利指数,2020,38,20200918,974557964.4988999,153328916.71859008,137372487.11923164,1265927499.6595457,6.355995890113411,0.7698371073864769,7.094273277974782
