ts_code,year,month,fund_name,上证50,消费50,红利指数,yearmth
002216.OF,2023,3,易方达量化策略A,0.16372511237549683,0.1076764789205353,0.0,202303
002258.OF,2023,3,大成国企改革,0.047652479956803814,0.09735955260349197,0.0,202303
002289.OF,2022,12,华商改革创新A,0.01987165080739637,0.0,0.0,202212
002455.OF,2023,3,民生加银鑫喜,0.02183136563174644,0.0,0.010983837881249505,202303
002472.OF,2023,3,光大先进服务业A,0.11183279619012493,0.15611282017939215,0.0,202303
002495.OF,2023,3,前海开源量化优选A,0.04265692209264467,0.018365371983847797,0.01854922817409116,202303
002563.OF,2023,3,泓德泓汇,0.04431230333000469,0.04322901524425903,0.0,202303
002602.OF,2023,3,易方达丰惠,0.014782753283860774,0.0,0.007229651401628472,202303
002620.OF,2022,12,中邮未来新蓝筹,0.018376501799812935,0.059268255469491465,0.0,202212
002630.OF,2022,12,江信瑞福A,0.02182039169151439,0.0,0.0,202212
002649.OF,2023,3,民生加银智造2025,0.08266867196597477,0.095888079304805,0.0,202303
002683.OF,2023,3,民生加银前沿科技,0.050912000897332325,0.0,0.0,202303
002780.OF,2023,3,前海联合泓鑫A,0.06290883556494722,0.06290883556494722,0.0,202303
002792.OF,2023,3,景顺长城顺益回报A,0.007311648364658689,0.007311648364658689,0.0,202303
002808.OF,2023,3,泓德优势领航,0.07726338376729075,0.03266095691849687,0.0,202303
002846.OF,2023,3,泓德泓华,0.16272783232340077,0.0,0.0,202303
002861.OF,2023,3,工银智能制造,0.05596235533276785,0.0,0.0,202303
002943.OF,2023,3,广发多因子,0.13944900817113443,0.0,0.0,202303
002945.OF,2022,12,大成盛世精选,0.020013575014434706,0.03649849998306805,0.0,202212
002967.OF,2023,3,浙商大数据智选消费A,0.1005994430501675,0.1266059328351464,0.0,202303
003025.OF,2023,3,新华红利回报,0.04207996364593565,0.010216600382465371,0.0,202303
003032.OF,2023,3,平安医疗健康,0.05132184732595403,0.0,0.0,202303
003115.OF,2022,12,光大诚鑫A,0.006121076637591276,0.0,2.3023643301944642e-05,202212
003126.OF,2023,3,长信易进A,0.01739875304885652,0.017483343116149023,0.0,202303
003132.OF,2023,3,德邦新回报,0.030016719345892246,0.12819017743033018,0.0,202303
003152.OF,2023,3,华富天鑫A,0.08833664494389973,0.0,0.0,202303
003182.OF,2023,3,华富弘鑫A,0.02009601277681709,0.0,0.0,202303
003238.OF,2022,12,新华外延增长主题,0.0549505650732389,0.0672932096681965,0.003717621204669102,202212
003284.OF,2023,3,中邮医药健康,0.1204560963443522,0.0,0.0,202303
003291.OF,2022,12,信澳健康中国A,0.10147317435871599,0.1131521319153925,0.0,202212
003293.OF,2023,3,易方达科瑞,0.05491914635048034,0.06321753646764502,0.0,202303
003295.OF,2023,3,南方安裕A,0.04492390781986742,0.04287707911985089,0.0,202303
003300.OF,2022,12,华夏圆和A,0.08211323948334374,0.0,0.0,202212
003308.OF,2022,12,中信建投睿利A,0.029586185433703397,0.0177318993018534,0.0,202212
003333.OF,2023,3,泰信智选成长A,0.16769066864629,0.11554736146630391,0.021285099004397123,202303
003378.OF,2023,3,泰康策略优选,0.08509375449654012,0.08509375449654012,0.07587504178412846,202303
003397.OF,2022,12,银华体育文化A,0.006664697390192366,0.0,0.0,202212
003446.OF,2023,3,英大睿鑫A,0.07357810778362679,0.23389666313818164,0.0,202303
003476.OF,2023,3,南方安颐,0.03357919513856386,0.02808130009222632,0.0,202303
003484.OF,2023,3,金鹰鑫益A,0.006709797492743839,0.006709797492743839,0.003098319188568584,202303
003501.OF,2023,3,泰达宏利睿智稳健A,0.0176963506869897,0.0,0.0,202303
003502.OF,2023,3,金鹰鑫瑞A,0.0034485567678490944,0.0,0.0,202303
003513.OF,2022,12,中邮消费升级,0.10678567192923208,0.20967166685950672,0.0,202212
003561.OF,2023,3,诺德成长精选A,0.11078431356767576,0.031417340209091316,0.0,202303
003567.OF,2022,12,华夏行业景气,0.006822617376911345,0.006822617376911345,0.009161542320647592,202212
003580.OF,2023,3,泰康沪港深价值优选,0.03352021960312659,0.03352021960312659,0.0,202303
003581.OF,2023,3,前海联合国民健康A,0.1407484699631521,0.0,0.0,202303
003586.OF,2023,3,先锋精一A,0.05037172890843844,0.0,0.0,202303
003591.OF,2023,3,华泰柏瑞享利A,0.008494585698586361,0.0,0.008494585698586361,202303
003598.OF,2023,3,华商润丰A,0.01961978494300822,0.0341113104048095,0.0,202303
003601.OF,2023,3,申万菱信安鑫精选A,0.11158909619055457,0.20351110904191044,0.0,202303
003603.OF,2023,3,景顺长城泰安A,0.0474806674950349,0.03925385707093942,0.0,202303
003626.OF,2023,3,平安鑫利A,0.02307928095020232,0.0,0.0,202303
003634.OF,2022,12,嘉实农业产业A,0.0009945517827689484,0.02481435371621293,0.0,202212
003641.OF,2023,3,长盛盛丰A,0.1260846353190181,0.07183739770750378,0.038488909957340264,202303
003659.OF,2022,12,山西证券策略精选,0.057725622302182915,0.05048486393658604,0.0,202212
003663.OF,2023,3,鹏华兴泰,0.18688411891087267,0.04322023740346897,0.04899053510107206,202303
003670.OF,2023,3,中融物联网主题,0.08231200088809523,0.08231200088809523,0.0,202303
003684.OF,2023,3,汇安丰融A,0.16109118732991723,0.3455323852976945,0.0,202303
003715.OF,2023,3,宝盈消费主题,0.05103275545382672,0.10161424255156276,0.05058148709773605,202303
003717.OF,2023,3,中银量化精选A,0.0117095139245231,0.013806066843420353,0.012900855100446262,202303
003745.OF,2023,3,广发多元新兴,0.07418876851688515,0.0,0.0,202303
003751.OF,2022,12,万家瑞隆A,0.014085043135419351,0.01671094261652368,0.00956272004732746,202212
003754.OF,2022,12,国泰普益A,0.0337631994869137,0.019823746566623043,0.003657744560060402,202212
003780.OF,2023,3,鹏华兴悦,0.046135618332809825,0.016741132738997105,0.0,202303
003799.OF,2023,3,华安新泰利A,0.009508061079027044,0.009508061079027044,0.0,202303
003805.OF,2023,3,华安新恒利A,0.03191832678919124,0.008810664577120418,0.013776748869444244,202303
003822.OF,2023,3,中信建投行业轮换A,0.025882918249875007,0.022987912583263822,0.0,202303
003828.OF,2023,3,鹏华兴惠,0.00984105107852734,0.00984105107852734,0.0,202303
003834.OF,2023,3,华夏能源革新A,0.1218053275121218,0.05157937901714478,0.0,202303
003835.OF,2022,12,鹏华沪深港新兴成长,5.192611617902729e-06,0.06519423413380769,0.0,202212
003839.OF,2023,3,易方达瑞通A,0.0802236590526943,0.013951138855636539,0.026724703928207246,202303
003842.OF,2023,3,中邮景泰A,0.02814555906558562,0.0,0.008710684016849008,202303
003845.OF,2023,3,汇安丰恒A,0.13913686331093797,0.0,0.03428483439447799,202303
003848.OF,2023,3,中银广利A,0.02689032160830199,0.012347017538233352,0.015721907437162196,202303
003853.OF,2022,12,金鹰信息产业A,0.08817313005915053,0.0,0.0,202212
003861.OF,2023,3,招商兴福A,0.0299122531070556,0.0,0.0,202303
003876.OF,2023,3,华宝沪深300指数增强A,0.13144800738581386,0.052804526552091356,0.0,202303
003877.OF,2022,12,富国久利稳健配置A,0.0031678548402035017,0.0,0.0,202212
003882.OF,2023,3,易方达瑞弘A,0.05925372033432654,0.021585133844767485,0.009773380417961627,202303
003884.OF,2023,3,汇安沪深300指数增强A,0.09770331571157857,0.08434035249541132,0.0,202303
003889.OF,2023,3,汇安丰泽A,0.0791665046101413,0.0791665046101413,0.0,202303
003900.OF,2023,3,交银瑞鑫六个月持有A,0.006348437613129063,0.0,0.0,202303
003938.OF,2023,3,南方荣尊A,0.013375715827652112,0.013375715827652112,0.0,202303
003940.OF,2023,3,银华盛世精选A,0.12896942328619254,0.2014064073110609,0.0,202303
003950.OF,2023,3,博时鑫润A,0.12689429272900482,0.060696050108758795,0.0,202303
003957.OF,2023,3,安信量化精选沪深300指数增强A,0.05513608338749197,0.05513608338749197,0.0,202303
003961.OF,2023,3,易方达瑞程A,0.04200791044984486,0.02623636743441561,0.0,202303
003980.OF,2023,3,中银证券瑞益A,0.14531813878537983,0.04978576286635128,0.0,202303
003984.OF,2023,3,嘉实新能源新材料A,0.04296233549900535,0.04378913722213559,0.0,202303
003986.OF,2023,3,申万菱信中证500优选增强A,0.010530711978811069,0.0,0.0277094973256926,202303
004005.OF,2023,3,东方民丰回报赢安A,0.005000778076240509,0.006396586006923697,0.0,202303
004008.OF,2023,3,中融鑫思路A,0.10670384811970676,0.03444203193627742,0.03151557256466432,202303
004010.OF,2023,3,华泰柏瑞鼎利A,0.01195394249058662,0.0,0.008500607459554827,202303
004040.OF,2023,3,金鹰医疗健康产业A,0.08919451235604599,0.0,0.0,202303
004044.OF,2023,3,金鹰转型动力,0.07987971067107072,0.20897468630505023,0.0,202303
004046.OF,2023,3,华夏新锦顺A,0.053175696998111074,0.010271477166374884,0.04657448523602495,202303
004048.OF,2023,3,华夏新锦汇A,0.02740481788763994,0.015529594150947349,0.009035643538971943,202303
004050.OF,2023,3,华夏新锦升A,0.1128103362871303,0.20183680841261856,0.0,202303
004069.OF,2023,3,南方中证全指证券公司ETF联接A,0.008458324430586976,0.0,0.0,202303
004075.OF,2023,3,交银医药创新A,0.07390095897738566,0.0,0.0,202303
004083.OF,2023,3,国联安鑫隆A,0.12179926988009532,0.04527690285865499,0.010469126815680064,202303
004091.OF,2022,12,博时沪港深价值优选A,0.037862527273280606,0.005601039750451464,0.004792645181306983,202212
004099.OF,2022,12,前海开源沪港深景气行业,0.05092199170337059,0.0,0.06695732921294484,202212
004100.OF,2023,3,鹏华安益增强,0.006122993925356447,0.005208511135247672,0.006122993925356447,202303
004119.OF,2023,3,广发创新驱动,0.09441031873078126,0.20122028419589338,0.0,202303
004129.OF,2023,3,国联安鑫汇A,0.018595564094212067,0.018595564094212067,0.0,202303
004131.OF,2023,3,国联安鑫发A,0.047262025525930305,0.020243157984717312,0.022907011826421925,202303
004138.OF,2023,3,上银鑫达A,0.16103582151575005,0.11803331678891965,0.02797930114317241,202303
004142.OF,2023,3,招商盛合A,0.023530603454297656,0.030511109909393354,0.0,202303
004148.OF,2023,3,圆信永丰多策略精选,0.0508421825452901,0.0508421825452901,0.0,202303
004149.OF,2023,3,博时鑫惠A,0.02444625274136919,0.0,0.011107276650727044,202303
004153.OF,2023,3,信诚新悦回报A,0.16932165156583942,0.08727801313973382,0.009401153790124708,202303
004157.OF,2023,3,信诚至诚A,0.010617845981792162,0.0,0.0,202303
004175.OF,2023,3,博时鑫泰A,0.17006536298650737,0.073440855567523,0.0229822905221636,202303
004183.OF,2023,3,富国产业升级A,0.04910766857198755,0.1692672949886578,0.0,202303
004189.OF,2023,3,华商消费行业,0.0305178371235712,0.1076741209990225,0.0,202303
004190.OF,2023,3,招商沪深300指数增强A,0.16947288417822415,0.06694839582436542,0.006920462404724526,202303
004194.OF,2022,12,招商中证1000指数增强A,0.001835310117202755,0.010517010422794505,0.008993493801521533,202212
004202.OF,2023,3,华夏睿磐泰兴A,0.012194277466728994,0.0032217734143974042,0.0,202303
004205.OF,2023,3,东方支柱产业,0.18234600216590985,0.08824736631465284,0.04629251878623569,202303
004206.OF,2023,3,华商元亨,0.01508612454645321,0.027520417165848382,0.0,202303
004209.OF,2023,3,大成智惠量化多策略,0.06804295901279606,0.0,0.0,202303
004211.OF,2023,3,金鹰周期优选,0.06231190676859607,0.0,0.0,202303
004218.OF,2023,3,前海开源裕和A,0.03412319892916722,0.019085916799764287,0.006389347292517609,202303
004223.OF,2022,12,金信多策略精选,0.06340884372556028,0.0,0.0,202212
004225.OF,2023,3,国寿安保稳诚A,0.024537410015333067,0.0,0.0,202303
004244.OF,2023,3,东方周期优选,0.05247158008784616,0.0,0.0,202303
004249.OF,2023,3,安信中国制造2025沪港深,0.0600438751983706,0.0,0.0,202303
004258.OF,2023,3,国寿安保稳嘉A,0.008343377753063179,0.008343377753063179,0.0,202303
004260.OF,2022,12,德邦稳盈增长A,0.02348631287052458,0.0,0.0,202212
004263.OF,2022,12,华安沪港深机会,0.06955251677587171,0.048248233556619856,0.0,202212
004266.OF,2022,12,招商沪港深科技创新A,0.007076152506426197,0.0,0.0,202212
004274.OF,2023,3,浦银安盛安恒回报A,0.026544813518984,0.00936374250282025,0.01123105209486618,202303
004276.OF,2023,3,浦银安盛安和回报A,0.010947549974136815,0.004857400324659024,0.0,202303
004278.OF,2023,3,东方红智逸沪港深,0.03862352888794575,0.009194731532245757,0.019966568242013674,202303
004279.OF,2023,3,国寿安保稳荣A,0.014010577646820148,0.014578082898589523,0.0,202303
004292.OF,2022,12,鹏华沪深港互联网,0.05330782944922577,0.0,0.010052072883282139,202212
004301.OF,2022,12,国寿安保稳信A,0.00792678166175718,0.02291982619953959,0.0,202212
004314.OF,2023,3,前海开源沪港深新硬件A,0.056527028312640795,0.0,0.0,202303
004320.OF,2022,12,前海开源沪港深乐享生活,0.04221855158397527,0.0,0.0,202212
004332.OF,2022,12,恒生前海沪港深新兴,0.01656807796299574,0.0,0.0,202212
004335.OF,2023,3,华宝新飞跃,0.0577764672290746,0.04020369981796837,0.030118864447976318,202303
004340.OF,2023,3,泰康兴泰回报沪港深,0.07113798120607354,0.07113798120607354,0.0,202303
004341.OF,2023,3,农银汇理尖端科技,0.0800461056968011,0.0800461056968011,0.0,202303
004350.OF,2023,3,汇丰晋信价值先锋A,0.024146800171254347,0.024146800171254347,0.0,202303
004351.OF,2022,12,汇丰晋信珠三角区域,0.08739561530572178,0.0,0.0,202212
004352.OF,2022,12,北信瑞丰研究精选,0.05214440206218582,0.019170458794336424,0.0,202212
004355.OF,2023,3,嘉实丰和A,0.05115096135797167,0.0,0.0,202303
004357.OF,2023,3,南方智慧精选,0.08206644613857893,0.0,0.052783915258915536,202303
004359.OF,2023,3,创金合信量化核心A,0.016907738980335228,0.016907738980335228,0.0,202303
004361.OF,2023,3,摩根安通回报A,0.03798752635146544,0.039508503531193076,0.011437305553851095,202303
004374.OF,2023,3,华泰保兴吉年丰A,0.08970126479087828,0.04865021389908594,0.0,202303
004393.OF,2023,3,安信企业价值优选,0.16416264337069741,0.05080737037660361,0.10336848131573279,202303
004394.OF,2022,12,华泰柏瑞量化创优,0.016274733750345494,0.0,0.008851870175437263,202212
004403.OF,2023,3,平安股息精选A,0.053944515497727816,0.0,0.05247570919042721,202303
004405.OF,2023,3,国寿安保稳寿A,0.06392504532889393,0.026521881538709307,0.01760893128872326,202303
004413.OF,2023,3,建信民丰回报,0.003444609566619744,0.003444609566619744,0.0,202303
004423.OF,2022,12,华商研究精选A,0.010029699274233994,0.027759246911939144,0.0,202212
004424.OF,2023,3,汇添富文体娱乐主题A,0.06524701427489359,0.10179659105742705,0.0,202303
004432.OF,2023,3,南方中证申万有色金属ETF联接A,0.0014749830300355808,0.0,0.0,202303
004434.OF,2023,3,博时逆向投资A,0.06394528769152989,0.042167873814424994,0.0,202303
004436.OF,2023,3,汇添富年年泰A,0.0860742548714859,0.13404980266532415,0.0,202303
